country,count
United States,3755
Germany,536
United Kingdom,367
China,302
Australia,297
Netherlands,226
Canada,199
Singapore,189
Hong Kong,180
Japan,164
India,163
France,135
Austria,129
Poland,116
South Africa,93
Spain,89
Belgium,84
Taiwan,73
Russian Federation,68
Ireland,64
Thailand,62
Italy,61
"Korea, Republic of",57
Malaysia,50
Mexico,46
Switzerland,43
Turkey,37
Brazil,34
Bolivia,31
Romania,30
Vietnam,28
Philippines,28
Saudi Arabia,27
Norway,27
Indonesia,27
Namibia,25
Nigeria,23
Greece,23
Denmark,22
Pakistan,22
Finland,20
Czech Republic,19
Israel,18
Sweden,17
New Zealand,16
United Arab Emirates,15
Chile,13
Ukraine,13
Bahrain,13
Cambodia,12
Kenya,12
Egypt,12
Argentina,11
Panama,11
Peru,10
Macedonia,10
Mongolia,10
Uganda,9
Serbia,9
Colombia,8
Bangladesh,8
Slovakia,7
"Tanzania, United Republic of",7
Slovenia,7
Estonia,7
Morocco,6
Sri Lanka,6
Nepal,6
Bulgaria,6
Lebanon,6
Oman,5
Ghana,5
Ethiopia,5
Cameroon,5
Zimbabwe,5
Malta,5
Bosnia and Herzegovina,4
Kuwait,4
Cyprus,4
Benin,4
Europe,4
Albania,4
Cote D'Ivoire,4
Costa Rica,4
Palestinian Territory,4
Macau,4
Croatia,3
Asia/Pacific Region,3
Portugal,3
Qatar,3
Zambia,3
Mozambique,3
Mauritius,3
Dominican Republic,3
Luxembourg,3
Hungary,3
Congo,3
Kazakhstan,3
Montenegro,3
"Iran, Islamic Republic of",3
Uruguay,3
Mali,2
Isle of Man,2
Myanmar,2
Sierra Leone,2
Sudan,2
Bermuda,2
Turks and Caicos Islands,2
Barbados,2
Tunisia,2
Jordan,2
Guinea,2
Paraguay,2
Lithuania,2
Georgia,2
Seychelles,1
Norfolk Island,1
Niger,1
Nicaragua,1
Burkina Faso,1
Togo,1
Iraq,1
Belarus,1
Monaco,1
French Guiana,1
Guatemala,1
El Salvador,1
Aruba,1
British Indian Ocean Territory,1
Uzbekistan,1
Somalia,1
Latvia,1
Vanuatu,1
Puerto Rico,1
Djibouti,1
Brunei Darussalam,1
Honduras,1
Fiji,1
Saint Lucia,1
Gabon,1
Algeria,1
